종목명,자격구분,주무부처
농예화학기능사1급,국가기술자격,농촌진흥청
기계정비기능사,국가기술자격,고용노동부
건축목공기능사,국가기술자격,국토교통부
건축재료시험기능사2급,국가기술자격,고용노동부
화학열기기조작기능사2급,국가기술자격,고용노동부
화학분리기기조작기능사2급,국가기술자격,고용노동부
자동전신기기기능사2급,국가기술자격,정보통신부
목재창호기능사,국가기술자격,국토해양부
금속재창호기능사,국가기술자격,국토교통부
미장기능사,국가기술자격,국토교통부
열처리기능사,국가기술자격,산업통상자원부
제지기능사2급,국가기술자격,고용노동부
위험물취급기능사2급,국가기술자격,행정안전부
방수기능사,국가기술자격,국토교통부
건축제도기능사,국가기술자격,국토해양부
전산응용건축제도기능사,국가기술자격,고용노동부
조적기능사,국가기술자격,국토교통부
인수통합종목,국가기술자격,고용노동부
양식조리산업기사,국가기술자격,식품의약품안전처
일식조리산업기사,국가기술자격,식품의약품안전처
중식조리산업기사,국가기술자격,식품의약품안전처
유리제조기능사2급,국가기술자격,고용노동부
복어조리산업기사,국가기술자격,식품의약품안전처
토목제도기능사,국가기술자격,국토해양부
측량기능사,국가기술자격,국토교통부
축로기능사,국가기술자격,고용노동부
정밀측정기능사2급,국가기술자격,산업자원부
정밀가공기능사2급,국가기술자격,고용노동부
화학유화기기조작기능사2급,국가기술자격,고용노동부
도자기제조기능사2급,국가기술자격,고용노동부
제강기능사(연속주조),국가기술자격,고용노동부
코크스기능사2급,국가기술자격,고용노동부
다듬질기능사,국가기술자격,고용노동부
건설기계차체정비기능사,국가기술자격,국토해양부
농기계정비기능사,국가기술자격,농촌진흥청
원형기능사,국가기술자격,고용노동부
압연기능사2급,국가기술자격,고용노동부
열간압연기능사,국가기술자격,고용노동부
냉간압연기능사,국가기술자격,고용노동부
제선기능사2급,국가기술자격,고용노동부
제강기능사2급,국가기술자격,고용노동부
항공기관정비기능사,국가기술자격,국토교통부
항공장비정비기능사,국가기술자격,국토교통부
항공전자정비기능사,국가기술자격,국토교통부
자동차정비기능사,국가기술자격,국토교통부
제강기능사(전로),국가기술자격,고용노동부
제강기능사(전기로),국가기술자격,고용노동부
주조기능사,국가기술자격,고용노동부
자동차기관정비기능사2급,국가기술자격,건설교통부
자동차새시정비기능사2급,국가기술자격,건설교통부
자동차전기정비기능사2급,국가기술자격,건설교통부
자동차차체수리기능사,국가기술자격,국토교통부
중기정비기능사2급,국가기술자격,국토교통부
항공기체정비기능사,국가기술자격,국토교통부
제화저부기능사보,국가기술자격,고용노동부
특수도금기능사,국가기술자격,고용노동부
금속재료시험기능사,국가기술자격,산업통상자원부
제선기능사,국가기술자격,고용노동부
주산1급,국가기술자격,고용노동부
주산2급,국가기술자격,고용노동부
정밀설계기능사2급,국가기술자격,고용노동부
건설기계기관정비기능사,국가기술자격,국토해양부
사진기능사보,국가기술자격,고용노동부
1급조리사,국가기술자격,보건복지부
영사기능사1급,국가기술자격,문화관광부
기계전자기능사1급,국가기술자격,고용노동부
주물용해기능사2급,국가기술자격,고용노동부
주물조형기능사2급,국가기술자격,고용노동부
담배제조기능사2급,국가기술자격,고용노동부
시스템제어기능사1급,국가기술자격,고용노동부
가스용접기능사,국가기술자격,고용노동부
자동차새시기능사2급,국가기술자격,건설교통부
자동차기관기능사2급,국가기술자격,건설교통부
자동차정비기능사2급,국가기술자격,건설교통부
자동차전기기능사2급,국가기술자격,건설교통부
계량기능사2급,국가기술자격,중소벤처기업부
철골구조물기능사,국가기술자격,고용노동부
배관기능사2급,국가기술자격,고용노동부
전기용접기능사,국가기술자격,고용노동부
용접기능사2급,국가기술자격,고용노동부
기계제도기능사,국가기술자격,고용노동부
전산응용기계제도기능사,국가기술자격,고용노동부
타출판금기능사,국가기술자격,고용노동부
판금기능사2급,국가기술자격,고용노동부
자동차판금기능사2급,국가기술자격,고용노동부
공유압기능사1급,국가기술자격,고용노동부
제관기능사,국가기술자격,고용노동부
정밀측정기능사,국가기술자격,산업통상자원부
정보통신설비기능사1급,국가기술자격,정보통신부
보일러취급기능사,국가기술자격,지식경제부
철도동력차기관정비기능사,국가기술자격,국토해양부
기계검사및설치기능사2급,국가기술자격,산업자원부
금형공구기능사2급,국가기술자격,산업통상자원부
프레스금형기능사,국가기술자격,지식경제부
사출금형기능사,국가기술자격,지식경제부
철도동력차전기정비기능사,국가기술자격,국토해양부
객화차정비기능사,국가기술자격,국토해양부
농기계운전기능사,국가기술자격,농촌진흥청
고압가스기계기능사2급,국가기술자격,산업자원부
밀링기능사,국가기술자격,고용노동부
수치제어밀링기능사,국가기술자격,고용노동부
프레스금형기능사1급,국가기술자격,산업자원부
사출금형기능사1급,국가기술자격,산업자원부
밀링기능사1급,국가기술자격,고용노동부
연삭기능사1급,국가기술자격,고용노동부
위험물취급기능사1급,국가기술자격,행정안전부
굴착기능사1급,국가기술자격,산업자원부
건축일반시공기능사1급,국가기술자격,건설교통부
주강용해기능사1급,국가기술자격,고용노동부
주물사처리기능사1급,국가기술자격,고용노동부
주물조형기능사1급,국가기술자격,고용노동부
주강조형기능사1급,국가기술자격,고용노동부
방사기능사1급,국가기술자격,고용노동부
방적기보전기능사1급,국가기술자격,고용노동부
방적기조정기능사1급,국가기술자격,고용노동부
생사기능사1급,국가기술자격,농촌진흥청
직기보전기능사1급,국가기술자격,고용노동부
직기조정기능사1급,국가기술자격,고용노동부
주조기능사1급,국가기술자격,고용노동부
도금기능사1급,국가기술자격,고용노동부
금속재료시험기능사1급,국가기술자격,고용노동부
금속재료기능사1급,국가기술자격,산업자원부
제선기능사1급,국가기술자격,고용노동부
철도동력차전기정비기능사1급,국가기술자격,건설교통부
열차조작기능사1급,국가기술자격,건설교통부
객화차정비기능사1급,국가기술자격,건설교통부
조적기능사1급,국가기술자격,고용노동부
자동차검사기능사1급,국가기술자격,건설교통부
건설기계정비기능사1급,국가기술자격,건설교통부
항공정비기능사1급,국가기술자격,건설교통부
전산응용가공기능사1급,국가기술자격,고용노동부
일반판금기능사1급,국가기술자격,고용노동부
타출판금기능사1급,국가기술자격,고용노동부
판금기능사1급,국가기술자격,고용노동부
자동차판금기능사1급,국가기술자격,고용노동부
제관기능사1급,국가기술자격,고용노동부
철골구조물기능사1급,국가기술자격,고용노동부
측량기능사1급,국가기술자격,건설교통부
정보처리기능사1급,국가기술자격,정보통신부
건설재료기능사1급,국가기술자격,건설교통부
보선기능사1급,국가기술자격,건설교통부
전신전화기기기능사1급,국가기술자격,정보통신부
자동전신기기기능사1급,국가기술자격,정보통신부
배관기능사1급,국가기술자격,고용노동부
용접기능사1급,국가기술자격,고용노동부
정밀설계기능사1급,국가기술자격,산업자원부
선박조립기능사1급,국가기술자격,고용노동부
조선요철기능사1급,국가기술자격,고용노동부
조선기계절단기능사1급,국가기술자격,고용노동부
선체건조기능사1급,국가기술자격,고용노동부
전기공사기능사1급,국가기술자격,산업자원부
전산응용기계제도기능사1급,국가기술자격,고용노동부
공구제작기능사1급,국가기술자격,산업자원부
정밀측정기능사1급,국가기술자격,산업자원부
금형공구기능사1급,국가기술자격,산업통상자원부
신호보안산업기사,국가기술자격,건설교통부
라디오텔레비기능사1급,국가기술자격,고용노동부
전자기기기능사1급,국가기술자격,고용노동부
고압가스취급기능사1급,국가기술자격,산업자원부
고압가스기능사1급,국가기술자격,산업통상자원부
철도동력차기관정비기능사1급,국가기술자격,건설교통부
자동차새시기능사1급,국가기술자격,건설교통부
건축일반시공기능장,국가기술자격,국토교통부
기계가공기능사1급,국가기술자격,고용노동부
보오링기능사1급,국가기술자격,고용노동부
기계조립기능사1급,국가기술자격,고용노동부
자동차기관기능사1급,국가기술자격,건설교통부
고압가스화학기능사1급,국가기술자격,산업자원부
발전기기능사1급,국가기술자격,산업자원부
전기기기(1)기능사1급,국가기술자격,고용노동부
전기기기(2)기능사1급,국가기술자격,고용노동부
전기계측제어기능사1급,국가기술자격,고용노동부
전기설비기능사1급,국가기술자격,산업자원부
공기조화기능사1급,국가기술자격,고용노동부
거푸집기능사1급,국가기술자격,고용노동부
건축목공기능사1급,국가기술자격,건설교통부
기와기능사1급,국가기술자격,고용노동부
함석기능사1급,국가기술자격,고용노동부
타일기능사1급,국가기술자격,고용노동부
